,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
67,0.19095582962036134,0.00408498790071754,0.006428050994873047,0.0008143802054003072,0.01,1,6,200,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 200}",-0.9228362013117941,-0.98987779744441,-1.1814027732740842,-1.0095043570321973,-1.2990348822675029,-1.0805312022659976,0.13859978202536882,70,-66.97394172802386,-66.92415479881791,-76.37574317703405,-66.68437518983767,-65.90235949998215,-68.57211487873913,3.920655541566641,70
66,0.10479154586791992,0.0027352000148664108,0.006805849075317383,0.00041139998450208745,0.01,1,6,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 100}",-0.9228362013117941,-0.9898778037352083,-1.1814027732740842,-1.0095043570321973,-1.2990348822675029,-1.0805312035241574,0.1385997812024494,71,-66.97394172802386,-66.92415490460489,-76.37574317703405,-66.68437518983767,-65.90235949998215,-68.57211489989652,3.9206555326736017,71
71,0.4637458324432373,0.013344995439174959,0.004791641235351562,0.0003803124934993072,0.01,1,9,500,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 500}",-0.9243106207165843,-0.9908954457389183,-1.1814960767355016,-1.0099086647012738,-1.2995429498967632,-1.0812307515578083,0.13826394062861513,72,-66.99961441837107,-66.94126553467243,-76.37737654000021,-66.69108322413872,-65.90964103497716,-68.58379615043191,3.9161435539427383,72
70,0.2294600009918213,0.0067411180967910855,0.004786968231201172,0.000399351390439981,0.01,1,9,200,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 200}",-0.9243106207165843,-0.9908954490937263,-1.1814960767355016,-1.0099086647012738,-1.2995429498967632,-1.08123075222877,0.13826394019023966,73,-66.99961441837107,-66.94126559107295,-76.37737654000021,-66.69108322413872,-65.90964103497716,-68.58379616171202,3.9161435492115744,73
69,0.1324242115020752,0.0062865116878938355,0.006810665130615234,0.0004147575816293695,0.01,1,9,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 100}",-0.9243106207165843,-0.9908954534519001,-1.1814960767355016,-1.0099086647012738,-1.2995429498967632,-1.0812307531004044,0.1382639396207536,74,-66.99961441837107,-66.94126566434191,-76.37737654000021,-66.69108322413872,-65.90964103497716,-68.58379617636581,3.9161435430653997,74
30,0.1048154354095459,0.0022908178943392634,0.006612968444824219,0.00048101791565888723,0,1,6,100,"{'gamma': 0, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 100}",-0.926070117405448,-0.9922042599777321,-1.1828703807669383,-1.010492404480765,-1.3017862310728567,-1.082684678740748,0.1385418468112997,75,-67.03023802548091,-66.96326550637127,-76.40143095182648,-66.70076709999645,-65.94178172961902,-68.60749666265883,3.9160772805726,75
29,0.2616413116455078,0.005854241174031487,0.004787349700927734,0.00039894610406496136,0,1,3,500,"{'gamma': 0, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 500}",-0.9261123200856292,-0.9924172702821119,-1.1829293814357138,-1.0105496407805292,-1.3019564364868232,-1.0827930098141614,0.13856090192513607,76,-67.03097238093777,-66.96684533113994,-76.40246346963006,-66.7017165385322,-65.94421971465651,-68.6092434869793,3.915704275109518,76
32,0.24984092712402345,0.003994072215400986,0.004986953735351562,0.0006306003377222346,0,1,6,500,"{'gamma': 0, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 500}",-0.9261611221535941,-0.992431871919951,-1.1829577959439836,-1.0105526618774974,-1.301961076306792,-1.0828129056403637,0.13855322090445316,77,-67.0318215602185,-66.96709071744677,-76.40296072148439,-66.70176665226076,-65.94428617315859,-68.6095851649138,3.9157992481915134,77
31,0.1549041748046875,0.0028533470674670137,0.0066184520721435545,0.0005184056259312565,0,1,6,200,"{'gamma': 0, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 200}",-0.9261611221535941,-0.9924318779489634,-1.1829577959439836,-1.0105526618774974,-1.301961076306792,-1.082812906846166,0.13855322011788415,78,-67.0318215602185,-66.96709081876652,-76.40296072148439,-66.70176665226076,-65.94428617315859,-68.60958518517775,3.9157992396917347,78
35,0.24439969062805175,0.0022256280580107497,0.0049874305725097655,4.862803948967729e-07,0,1,9,500,"{'gamma': 0, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 500}",-0.9261903246012075,-0.9924278846376002,-1.1829438868291282,-1.0105628677844458,-1.3019922186465025,-1.0828234364997769,0.13855391511782789,79,-67.0323296916037,-66.96702370967695,-76.40271731337756,-66.70193594679672,-65.94473223900162,-68.60974778009131,3.9155898194178307,79
